@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
1,'2017/11/02 23:29:33:207',1,344.859985,3.33,-5.31,0,0.1,0,0.43,0
2,'2017/11/02 23:29:33:267',1,344.910004,3.93,-5.49,0,0.1,0,0.43,0
3,'2017/11/02 23:29:33:330',1,344.859985,4.52,-6.2,0,0.1,0,0.43,0
4,'2017/11/02 23:29:33:388',1,344.839996,5.21,-6.52,0,0.1,0,0.43,0
5,'2017/11/02 23:29:33:453',1,344.839996,5.58,-6.41,0,0.1,0,0.43,0
6,'2017/11/02 23:29:33:507',1,345.070007,5.68,-6.11,0,0.1,0,0.43,0
7,'2017/11/02 23:29:33:565',1,344.959991,5.28,-6.88,0,0.1,0,0.43,0
8,'2017/11/02 23:29:33:627',1,344.790009,5.4,-6.69,0,0.1,0,0.43,0
9,'2017/11/02 23:29:33:713',1,344.809998,6.24,-5.14,0,0.1,0,0.43,0
10,'2017/11/02 23:29:33:748',1,344.679993,6.28,-5.23,0,0.1,0,0.43,0
11,'2017/11/02 23:29:33:809',1,344.619995,6.38,-4.88,0,0.1,0,0.43,0
12,'2017/11/02 23:29:33:865',1,344.529999,6.08,-4.88,0,0.1,0,0.43,0
13,'2017/11/02 23:29:33:927',1,344.529999,5.93,-4.43,0,0.1,0,0.43,0
14,'2017/11/02 23:29:33:986',1,344.540009,5.68,-3.93,0,0.1,0,0.43,0
15,'2017/11/02 23:29:34:047',1,344.390015,5.61,-3.63,0,0.1,0,0.43,0
16,'2017/11/02 23:29:34:113',1,344.329987,5.56,-3.28,0,0.1,0,0.43,0
17,'2017/11/02 23:29:34:168',1,344.070007,5.56,-3.25,0,0.1,0,0.43,0
18,'2017/11/02 23:29:34:226',1,343.980011,5.58,-3.23,0,0.1,0,0.43,0
19,'2017/11/02 23:29:34:292',1,344.049988,5.6,-3.28,0,0.1,0,0.43,0
20,'2017/11/02 23:29:34:349',1,344.149994,5.58,-3.27,0,0.1,0,0.43,0
21,'2017/11/02 23:29:34:412',1,344.149994,5.61,-3.32,0,0.1,0,0.43,0
22,'2017/11/02 23:29:34:472',1,344.790009,5.8,-2.18,0,0.1,0,0.43,0
23,'2017/11/02 23:29:34:529',1,344.679993,5.23,-1.8,0,0.1,0,0.43,0
24,'2017/11/02 23:29:34:587',1,343.920013,1.85,-4.37,0,0.1,0,0.43,0
25,'2017/11/02 23:29:34:650',1,343.730011,0.08,-6.39,0,0.1,0,0.43,0
26,'2017/11/02 23:29:34:708',1,344.899994,1.54,-3.81,0,0.1,0,0.43,0
27,'2017/11/02 23:29:34:766',1,345.700012,1.63,-2.98,0,0.1,0,0.43,0
28,'2017/11/02 23:29:34:832',1,345.609985,2.77,-1.71,0,0.1,0,0.43,0
29,'2017/11/02 23:29:34:890',1,346.230011,3.66,-0.43,0,0.1,0,0.43,0
30,'2017/11/02 23:29:34:947',1,346.48999,4.3,-0.74,0,0.1,0,0.43,0
31,'2017/11/02 23:29:35:007',1,346.220001,4.09,-1.61,0,0.1,0,0.43,0
32,'2017/11/02 23:29:35:068',1,345.920013,3.94,-2.29,0,0.1,0,0.43,0
33,'2017/11/02 23:29:35:128',1,346.029999,3.9,-2.05,0,0.1,0,0.43,0
34,'2017/11/02 23:29:35:187',1,345.429993,3.98,-1.13,0,0.1,0,0.43,0
35,'2017/11/02 23:29:35:250',1,344.600006,4.16,-0.06,0,0.1,0,0.43,0
